time,on time percent,no trains,no on time,up to 6,up to 60,up to 120,Over 120,passengers,passenger x km,trains x km
2012-I,94.09%,391694,283435,85128,21660,1091,380,22.745002,1390.23909733,12.011095028
2012-II,93.28%,383668,300635,57240,24466,1016,311,23.1431383333333,1513.219989,11.7781999493333
2012-III,91.00%,394551,293619,65434,33333,1545,620,22.2782286666667,1645.165239,12.2605485273333
2012-IV,89.95%,383736,270290,74868,36479,1554,545,23.1349883333333,1404.81172077325,11.9731048513333
2013-I,92.75%,379690,290116,62035,25716,1430,393,21.9347643333333,1298.5780465,11.5713243606667
2013-II,92.13%,375312,283924,61836,27868,1336,348,22.7936103333333,1411.18724220201,11.3560191353333
2013-III,90.57%,382614,275231,71306,33981,1630,466,22.4463763333333,1572.58613192567,11.656277995
2013-IV,90.98%,369368,265708,70334,31823,1124,379,22.9579206666667,1316.7476248,11.1167965936667
2014-I,92.71%,367504,286851,53868,24736,1442,607,22.899439,1279.50332456017,11.228503416
2014-II,92.78%,370956,286242,57940,25396,1062,316,22.605815,1322.15701450007,10.988959772
2014-III,89.97%,384028,279449,66067,36573,1538,401,21.9662856666667,1494.913287688,11.6154813893333
2014-IV,88.97%,381610,265673,73850,40242,1486,359,22.2180316666667,1260.5738903532,11.3004662106667
2015-I,94.47%,382268,301506,59615,20052,825,270,22.7850886666667,1279.17174185353,11.7443508743334
2015-II,93.30%,386861,303086,57855,24681,970,269,23.883217,1447.56965960218,11.761224651
2015-III,89.94%,404443,300414,63325,38737,1434,533,22.6884253333333,1660.06414054074,12.2408808633334
2015-IV,91.92%,420400,324070,62343,32638,1057,292,24.0795426666667,1427.532155461,12.0664872383333
2016-I,93.89%,421847,347979,48112,24356,1086,314,23.8292663333333,1429.23911473902,13.0682021003334
2016-II,91.70%,423219,345785,42299,33465,1250,420,24.7906403333333,1580.73179479677,13.2613267133334
2016-III,91.43%,427666,347039,43969,35015,1182,461,24.3316173333333,1831.79116498754,13.787472967
2016-IV,89.42%,419156,320848,53980,42416,1364,548,24.5647813333333,1551.89863070087,13.2085098653335
2017-I,92.10%,423774,346658,43625,31923,1227,341,25.2450666666667,1551.427359893,13.4423990863332
2017-II,92.29%,426520,352708,40911,31196,1254,451,25.9090466666667,1735.508728485,13.4566200896664
2017-III,89.43%,438375,342403,49634,44229,1576,533,24.7950336666667,1895.875473382,13.8045450856665
2017-IV,86.90%,426918,314434,56579,53577,1673,655,25.2360263333333,1590.867707647,13.3838883519999
2018-I,90.14%,434506,342154,49496,41180,1333,343,24.199974,1539.38395732267,13.7235155659999
2018-II,88.21%,440444,336037,52484,49978,1531,414,25.9947113333333,1752.640133533,13.4160353309999
2018-III,87.42%,460176,345955,56339,55205,2056,621,26.200712,2028.95696092233,14.1830413746666
2018-IV,88.48%,448084,339990,56453,49833,1431,377,27.0325793333333,1694.795608,13.878686195
